Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CAF,BEN,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,33,52,48,42,37,4,11,9,11
GIN,CIV,300000,500000,,,,,,,,,,,,,,,,,2,2,,,4,4,4,,2,3,7,7,7,5,2,3,3
FJI,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
SDN,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,5,3,1,0
IDN,PNG,,,,1000,1000,1000,150,2200,1230,10950,11750,11290,9620,9241,7715,7080,6089,6679,7665,8456,9315,10175,8198,8198,,5862,4941,4941,7491,7626,9991,10177,10000,10000,9689
SEN,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,
COD,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,8,8,8,8
QAT,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2
RWA,MRT,,,,,,,,,,,,,,,,,,,,2,2,2,3,,,,,,,,,,,,
UZB,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
DZA,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,1,1,1,1
ISR,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,8
CHL,MEX,,,,,,,,1000,,,,,980,,,,,,579,534,,,17,17,19,18,18,8,4,2,2,2,2,2,2
RUS,NGA,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
*ST,ITA,,,,,,8,29,32,32,32,34,32,32,26,26,26,5,2,3,3,4,6,6,6,,7,7,7,6,6,3,6,7,9,8
CAF,NGA,,,,,,,,,,,,,,,,,,,7,8,,,8,8,,,14,14,14,14,6,6,7,7,7
CUB,GTM,,,,,,,,,,,,,,,,,,,,,,16,17,9,9,9,8,8,9,7,8,9,9,1,1
TTO,CAN,,,,,,,,,,,,,,,,,,,,12,12,12,14,18,,14,16,17,22,21,42,91,145,164,186
CMR,NOR,,,,,,,,,,,,,,,,,,,,,,,2,6,9,14,28,28,32,34,36,36,31,29,30
RWA,COM,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,
POL,DNK,,,,,,,,,,,,,,,727,740,731,643,643,643,516,390,154,21,34,12,1,3,3,3,2,2,2,2,2
MNG,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
IND,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2
HRV,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
SDN,MWI,,,,,,,,,,,,,,,,,,,,,,1,,2,2,,,3,3,3,3,,,3,2
WSM,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,0
ESH,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,4,5
LBN,BRA,,,,,,,,,,,,,,,,,,,,,19,18,19,25,23,23,19,14,14,14,38,27,27,27,29
NAM,ZWE,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,,,,,
GMB,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
CHN,BEL,,,,,,,,,,,,,,,,,,,,,,,,85,13,52,6,5,10,33,97,149,225,273,384
IND,GBR,,,,,,,,,,,,,,4,4,179,369,829,859,890,925,960,980,1010,,1275,1145,775,851,838,819,827,832,820,674
ETH,GHA,,,,,,,,,,,,,,,,,,,7,7,7,7,7,6,6,6,5,5,,,,,,1,3
LBR,ERI,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
BGR,CHE,,,,,,,,,,,,,,,,,,,149,120,,,,45,45,36,40,39,38,25,17,21,19,22,5
ARM,AUT,,,,,,,,,,,,,,,,,,,,,,,,1,2,22,28,38,64,111,174,309,468,715,797
KGZ,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
DJI,NOR,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,
*VA,PRT,150,,7500,7500,7600,7600,7600,7600,700,600,700,800,800,789,657,867,998,1778,600,248,178,109,104,136,410,127,115,114,97,48,65,56,56,24,24
GIN,SWE,,,,,,,,,,,,,,,,,1,7,7,7,7,7,7,7,,7,8,3,3,11,14,16,25,32,41
BRA,USA,,,,,,,,,,,,,,,,,,,2,4,25,46,60,90,151,173,195,231,158,199,261,436,502,528,594
PHL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TCD,SDN,,,,,1000,4000,9000,2000,1000,121000,123000,95000,75000,70000,68503,130613,20700,16000,141400,141400,72900,4400,4400,4400,4400,4400,,,5023,5023,5023,25023,45024,41202,41138
CHN,COL,,,,,,,,,,,,,,,,,,,4,5,,,5,5,5,5,5,5,1,1,1,1,1,1,1
BLR,NLD,,,,,,,,,,,,,,,,,,,,,,10,10,10,,14,24,33,43,49,68,75,87,97,100
